measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Croatia,Both,All Ages,Years,2000,65.290296,67.599262,62.694597
HALE (Healthy life expectancy),Czech Republic,Both,All Ages,Years,2000,66.119536,68.434242,63.461924
HALE (Healthy life expectancy),Hungary,Both,All Ages,Years,2000,63.231564,65.434151,60.750854
HALE (Healthy life expectancy),Poland,Both,All Ages,Years,2000,65.053853,67.309742,62.484343
HALE (Healthy life expectancy),Romania,Both,All Ages,Years,2000,62.702812,64.896637,60.252695
HALE (Healthy life expectancy),Slovakia,Both,All Ages,Years,2000,64.6237,66.819477,62.061228
HALE (Healthy life expectancy),Slovenia,Both,All Ages,Years,2000,66.805075,69.238365,64.109974
HALE (Healthy life expectancy),Estonia,Both,All Ages,Years,2000,61.858841,64.1026,59.319912
HALE (Healthy life expectancy),Latvia,Both,All Ages,Years,2000,61.924349,64.12289,59.392763
HALE (Healthy life expectancy),Lithuania,Both,All Ages,Years,2000,63.123547,65.449329,60.450144
HALE (Healthy life expectancy),Austria,Both,All Ages,Years,2000,68.395582,70.943096,65.533401
HALE (Healthy life expectancy),Belgium,Both,All Ages,Years,2000,67.928198,70.453724,65.054211
HALE (Healthy life expectancy),Cyprus,Both,All Ages,Years,2000,68.01738,70.499538,65.191002
HALE (Healthy life expectancy),Denmark,Both,All Ages,Years,2000,67.531209,69.968216,64.746552
HALE (Healthy life expectancy),Finland,Both,All Ages,Years,2000,67.965974,70.556458,65.068405
HALE (Healthy life expectancy),France,Both,All Ages,Years,2000,69.24836,71.802467,66.333214
HALE (Healthy life expectancy),Germany,Both,All Ages,Years,2000,68.270648,70.796062,65.409847
HALE (Healthy life expectancy),Greece,Both,All Ages,Years,2000,69.070977,71.480305,66.217712
HALE (Healthy life expectancy),Ireland,Both,All Ages,Years,2000,68.075728,70.627125,65.200764
HALE (Healthy life expectancy),Italy,Both,All Ages,Years,2000,69.567443,72.139553,66.635384
HALE (Healthy life expectancy),Luxembourg,Both,All Ages,Years,2000,68.190799,70.8125,65.170666
HALE (Healthy life expectancy),Malta,Both,All Ages,Years,2000,69.12768,71.75309,66.168327
HALE (Healthy life expectancy),Netherlands,Both,All Ages,Years,2000,68.21638,70.742794,65.364998
HALE (Healthy life expectancy),Portugal,Both,All Ages,Years,2000,67.051432,69.484711,64.193111
HALE (Healthy life expectancy),Spain,Both,All Ages,Years,2000,69.510358,72.030941,66.599808
HALE (Healthy life expectancy),Sweden,Both,All Ages,Years,2000,69.932597,72.45504,67.09034
HALE (Healthy life expectancy),United Kingdom,Both,All Ages,Years,2000,68.296172,70.712063,65.478642
HALE (Healthy life expectancy),Bulgaria,Both,All Ages,Years,2005,64.135124,66.316906,61.675184
HALE (Healthy life expectancy),Croatia,Both,All Ages,Years,2005,66.536935,68.91341,63.912775
HALE (Healthy life expectancy),Czech Republic,Both,All Ages,Years,2005,67.065871,69.442837,64.360928
HALE (Healthy life expectancy),Hungary,Both,All Ages,Years,2005,64.289902,66.565758,61.740437
HALE (Healthy life expectancy),Poland,Both,All Ages,Years,2005,66.127122,68.404976,63.483858
HALE (Healthy life expectancy),Romania,Both,All Ages,Years,2005,63.933744,66.146206,61.448065
HALE (Healthy life expectancy),Slovakia,Both,All Ages,Years,2005,65.451765,67.735668,62.865786
HALE (Healthy life expectancy),Slovenia,Both,All Ages,Years,2005,68.095807,70.540119,65.307098
HALE (Healthy life expectancy),Estonia,Both,All Ages,Years,2005,63.748924,66.025589,61.158031
HALE (Healthy life expectancy),Bulgaria,Both,All Ages,Years,2015,66.065926,68.331211,63.475653
HALE (Healthy life expectancy),Croatia,Both,All Ages,Years,2015,68.352472,70.76099,65.540062
HALE (Healthy life expectancy),Czech Republic,Both,All Ages,Years,2015,69.20932,71.717777,66.379848
HALE (Healthy life expectancy),Hungary,Both,All Ages,Years,2015,67.358924,69.719154,64.638073
HALE (Healthy life expectancy),Poland,Both,All Ages,Years,2015,68.292508,70.66151,65.550228
HALE (Healthy life expectancy),Romania,Both,All Ages,Years,2015,66.38233,68.642906,63.773722
HALE (Healthy life expectancy),Slovakia,Both,All Ages,Years,2015,68.166827,70.578808,65.40733
HALE (Healthy life expectancy),Slovenia,Both,All Ages,Years,2015,70.981056,73.588928,68.023548
HALE (Healthy life expectancy),Estonia,Both,All Ages,Years,2015,68.26405,70.733932,65.521992
HALE (Healthy life expectancy),Latvia,Both,All Ages,Years,2015,66.240623,68.63171,63.582367
HALE (Healthy life expectancy),Lithuania,Both,All Ages,Years,2015,65.91983,68.316414,63.176411
HALE (Healthy life expectancy),Latvia,Both,All Ages,Years,2005,62.581161,64.796448,60.075377
HALE (Healthy life expectancy),Lithuania,Both,All Ages,Years,2005,62.949935,65.221142,60.348919
HALE (Healthy life expectancy),Austria,Both,All Ages,Years,2005,69.51037,72.101833,66.574379
HALE (Healthy life expectancy),Belgium,Both,All Ages,Years,2005,69.075812,71.637306,66.129925
HALE (Healthy life expectancy),Cyprus,Both,All Ages,Years,2005,68.994464,71.530769,66.074036
HALE (Healthy life expectancy),Denmark,Both,All Ages,Years,2005,68.517742,71.01656,65.666836
HALE (Healthy life expectancy),Finland,Both,All Ages,Years,2005,68.792346,71.468964,65.746166
HALE (Healthy life expectancy),France,Both,All Ages,Years,2005,70.392178,72.99794,67.367954
HALE (Healthy life expectancy),Germany,Both,All Ages,Years,2005,69.364986,71.935596,66.437397
HALE (Healthy life expectancy),Greece,Both,All Ages,Years,2005,69.906206,72.402493,67.063972
HALE (Healthy life expectancy),Ireland,Both,All Ages,Years,2005,69.643919,72.249168,66.636639
HALE (Healthy life expectancy),Italy,Both,All Ages,Years,2005,70.933872,73.533569,67.967384
HALE (Healthy life expectancy),Luxembourg,Both,All Ages,Years,2005,69.459252,72.138813,66.404388
HALE (Healthy life expectancy),Malta,Both,All Ages,Years,2005,70.41393,73.037235,67.386768
HALE (Healthy life expectancy),Netherlands,Both,All Ages,Years,2005,69.439773,72.043457,66.49292
HALE (Healthy life expectancy),Portugal,Both,All Ages,Years,2005,68.50599,71.019142,65.578835
HALE (Healthy life expectancy),Spain,Both,All Ages,Years,2005,70.553737,73.077194,67.60582
HALE (Healthy life expectancy),Sweden,Both,All Ages,Years,2005,70.642088,73.183643,67.763351
HALE (Healthy life expectancy),United Kingdom,Both,All Ages,Years,2005,69.285877,71.760834,66.383213
