measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Portugal,Female,All Ages,Years,2015,83.9,84.0,83.7
Life expectancy,Portugal,Both,All Ages,Years,2015,80.8,80.9,80.7
Life expectancy,Spain,Male,All Ages,Years,2015,79.8,80.0,79.7
Life expectancy,Spain,Female,All Ages,Years,2015,85.3,85.4,85.2
Life expectancy,Spain,Both,All Ages,Years,2015,82.6,82.7,82.5
Life expectancy,Sweden,Male,All Ages,Years,2015,80.2,80.5,80.0
Life expectancy,Sweden,Female,All Ages,Years,2015,84.0,84.2,83.7
Life expectancy,Sweden,Both,All Ages,Years,2015,82.1,82.3,82.0
Life expectancy,United Kingdom,Male,All Ages,Years,2015,79.0,79.1,78.9
Life expectancy,United Kingdom,Female,All Ages,Years,2015,82.8,82.9,82.7
Life expectancy,United Kingdom,Both,All Ages,Years,2015,81.0,81.0,80.9
Life expectancy,Bulgaria,Male,All Ages,Years,1995,67.4,67.5,67.3
Life expectancy,Bulgaria,Female,All Ages,Years,1995,74.8,75.0,74.7
Life expectancy,Bulgaria,Both,All Ages,Years,1995,71.0,71.0,70.9
Life expectancy,Croatia,Male,All Ages,Years,1995,69.0,69.6,68.2
Life expectancy,Croatia,Female,All Ages,Years,1995,77.0,77.2,76.7
Life expectancy,Croatia,Both,All Ages,Years,1995,73.0,73.4,72.5
Life expectancy,Czech Republic,Male,All Ages,Years,1995,69.9,69.9,69.8
Life expectancy,Czech Republic,Female,All Ages,Years,1995,77.0,77.1,76.9
Life expectancy,Czech Republic,Both,All Ages,Years,1995,73.4,73.5,73.4
Life expectancy,Hungary,Male,All Ages,Years,1995,65.5,65.6,65.4
Life expectancy,Hungary,Female,All Ages,Years,1995,74.8,74.9,74.7
Life expectancy,Hungary,Both,All Ages,Years,1995,70.1,70.1,70.0
Life expectancy,Poland,Male,All Ages,Years,1995,67.6,67.6,67.5
Life expectancy,Poland,Female,All Ages,Years,1995,76.4,76.5,76.4
Life expectancy,Poland,Both,All Ages,Years,1995,71.9,72.0,71.9
Life expectancy,Romania,Male,All Ages,Years,1995,65.4,65.5,65.4
Life expectancy,Romania,Female,All Ages,Years,1995,73.7,73.8,73.6
Life expectancy,Romania,Both,All Ages,Years,1995,69.4,69.5,69.3
Life expectancy,Slovakia,Male,All Ages,Years,1995,68.5,68.6,68.3
Life expectancy,Slovakia,Female,All Ages,Years,1995,76.5,76.6,76.3
Life expectancy,Slovakia,Both,All Ages,Years,1995,72.4,72.5,72.3
Life expectancy,Slovenia,Male,All Ages,Years,1995,70.7,70.8,70.6
Life expectancy,Slovenia,Female,All Ages,Years,1995,78.3,78.5,78.2
Life expectancy,Slovenia,Both,All Ages,Years,1995,74.6,74.7,74.5
Life expectancy,Estonia,Male,All Ages,Years,1995,61.5,61.7,61.3
Life expectancy,Estonia,Female,All Ages,Years,1995,74.1,74.3,73.9
Life expectancy,Estonia,Both,All Ages,Years,1995,67.7,67.8,67.5
Life expectancy,Latvia,Male,All Ages,Years,1995,60.3,60.5,60.2
Life expectancy,Latvia,Female,All Ages,Years,1995,73.0,73.2,72.9
Life expectancy,Latvia,Both,All Ages,Years,1995,66.5,66.7,66.4
Life expectancy,Lithuania,Male,All Ages,Years,1995,63.2,63.4,63.1
Life expectancy,Lithuania,Female,All Ages,Years,1995,75.0,75.1,74.9
Life expectancy,Lithuania,Both,All Ages,Years,1995,69.0,69.1,68.9
Life expectancy,Austria,Male,All Ages,Years,1995,73.3,73.4,73.3
